,name,real_x,real_y,R,label_x,label_y
0,20060529_57261_0100_PP.tif,2240,1488,103,990,785
1,20051208_39484_0400_PP.tif,2304,1536,109,1331,824
2,20051205_31388_0400_PP.tif,2304,1536,109,1349,818
3,20060407_44889_0200_PP.tif,1440,960,68,814,516
4,20060530_53062_0100_PP.tif,2240,1488,103,1314,785
5,20060411_59941_0200_PP.tif,1440,960,68,829,523
6,20051216_44221_0200_PP.tif,1440,960,68,606,537
7,20051205_31934_0400_PP.tif,2304,1536,109,1199,812
8,20060412_58287_0200_PP.tif,1440,960,68,610,522
9,20060529_56948_0100_PP.tif,2240,1488,103,954,791
10,20051202_55846_0400_PP.tif,1440,960,68,834,494
11,20060412_51952_0200_PP.tif,1440,960,68,820,525
12,20060412_58747_0200_PP.tif,1440,960,68,825,519
13,20060410_44124_0200_PP.tif,1440,960,68,817,526
14,20060407_43436_0200_PP.tif,1440,960,68,609,516
15,20051201_38211_0400_PP.tif,2304,1536,109,1013,809
16,20051208_40972_0400_PP.tif,2304,1536,109,1130,941
17,20060411_60426_0200_PP.tif,1440,960,68,616,531
18,20060407_45592_0200_PP.tif,1440,960,68,735,558
19,20051202_48232_0400_PP.tif,1440,960,68,756,564
20,20060411_59587_0200_PP.tif,1440,960,68,831,531
21,20051020_44692_0100_PP.tif,2240,1488,103,990,764
22,20060523_49681_0100_PP.tif,2240,1488,103,1308,788
23,20060411_62390_0200_PP.tif,1440,960,68,826,511
24,20060523_49100_0100_PP.tif,2240,1488,103,1239,842
25,20051130_59374_0400_PP.tif,2304,1536,109,1007,830
26,20051020_57967_0100_PP.tif,2240,1488,103,1149,761
27,20051110_38442_0400_PP.tif,1440,960,68,756,528
28,20051205_58502_0400_PP.tif,2304,1536,109,1352,812
29,20051116_54865_0400_PP.tif,1440,960,68,850,504
30,20060410_40274_0200_PP.tif,1440,960,68,823,511
31,20051130_55012_0400_PP.tif,1440,960,68,862,498
32,20060530_53152_0100_PP.tif,2240,1488,103,1302,788
33,20051201_38349_0400_PP.tif,2304,1536,109,1352,815
34,20051130_58921_0400_PP.tif,2304,1536,109,1091,818
35,20060412_52777_0200_PP.tif,1440,960,68,828,508
36,20051214_56269_0100_PP.tif,2240,1488,103,1302,761
37,20051020_44901_0100_PP.tif,2240,1488,103,962,790
38,20060407_46050_0200_PP.tif,1440,960,68,607,519
39,20060529_57063_0100_PP.tif,2240,1488,103,1299,773
40,20060410_43868_0200_PP.tif,1440,960,68,823,531
41,20051110_38472_0400_PP.tif,1440,960,68,632,500
42,20051116_55617_0400_PP.tif,2304,1536,109,1361,812
43,20060529_56255_0100_PP.tif,2240,1488,103,990,791
44,20051214_57230_0100_PP.tif,2240,1488,103,993,800
45,20051021_36380_0100_PP.tif,2240,1488,103,990,854
46,20060412_52446_0200_PP.tif,1440,960,68,820,516
47,20060530_54653_0100_PP.tif,2240,1488,103,1287,806
48,20051216_46018_0200_PP.tif,1440,960,68,813,517
49,20060530_36788_0100_PP.tif,2240,1488,103,987,761
50,20051212_41009_0400_PP.tif,2304,1536,109,1025,812
51,20051020_64249_0100_PP.tif,2240,1488,103,978,782
52,20060410_41330_0200_PP.tif,1440,960,68,760,511
53,20051214_40529_0100_PP.tif,2240,1488,103,984,800
54,20060407_40937_0200_PP.tif,1440,960,68,621,531
55,20051202_55921_0400_PP.tif,1440,960,68,846,502
56,20060411_61494_0200_PP.tif,1440,960,68,817,519
57,20051109_57843_0400_PP.tif,1440,960,68,670,522
58,20051205_58109_0400_PP.tif,2304,1536,109,1028,821
59,20060412_60454_0200_PP.tif,1440,960,68,603,540
60,20051205_59901_0400_PP.tif,2304,1536,109,1004,806
61,20060411_62319_0200_PP.tif,1440,960,68,819,523
62,20051110_38702_0400_PP.tif,1440,960,68,856,502
63,20060530_55607_0100_PP.tif,2240,1488,103,981,767
64,20051116_54429_0400_PP.tif,1440,960,68,640,498
65,20051116_43801_0400_PP.tif,1440,960,68,852,498
66,20060411_59747_0200_PP.tif,1440,960,68,927,562
67,20060411_58624_0200_PP.tif,1440,960,68,622,538
68,20060407_44510_0200_PP.tif,1440,960,68,604,526
69,20051202_37011_0400_PP.tif,2304,1536,109,1013,812
70,20051130_60760_0400_PP.tif,2304,1536,109,1337,794
71,20060410_44934_0200_PP.tif,1440,960,68,619,529
