,name,real_x,real_y,R,label_x,label_y
0,20051020_43808_0100_PP.tif,2240,1488,103,981,788
1,20051020_43882_0100_PP.tif,2240,1488,103,966,776
2,20051020_44261_0100_PP.tif,2240,1488,103,1110,902
3,20051020_44338_0100_PP.tif,2240,1488,103,975,794
4,20051020_44400_0100_PP.tif,2240,1488,103,978,776
5,20051020_44598_0100_PP.tif,2240,1488,103,1311,782
6,20051020_44692_0100_PP.tif,2240,1488,103,990,764
7,20051020_44762_0100_PP.tif,2240,1488,103,986,771
8,20051020_44843_0100_PP.tif,2240,1488,103,1284,802
9,20051020_44923_0100_PP.tif,2240,1488,103,1303,785
10,20051020_45004_0100_PP.tif,2240,1488,103,1310,793
11,20051020_52801_0100_PP.tif,2240,1488,103,1296,770
12,20051020_53997_0100_PP.tif,2240,1488,103,1308,776
13,20051020_56592_0100_PP.tif,2240,1488,103,1314,779
14,20051020_57157_0100_PP.tif,2240,1488,103,1296,782
15,20051020_57622_0100_PP.tif,2240,1488,103,1314,833
16,20051020_57844_0100_PP.tif,2240,1488,103,1305,812
17,20051020_58214_0100_PP.tif,2240,1488,103,987,794
18,20051020_61557_0100_PP.tif,2240,1488,103,972,788
19,20051020_61804_0100_PP.tif,2240,1488,103,1293,791
20,20051020_61998_0100_PP.tif,2240,1488,103,984,809
21,20051020_62337_0100_PP.tif,2240,1488,103,987,785
22,20051020_62461_0100_PP.tif,2240,1488,103,1011,788
23,20051020_62577_0100_PP.tif,2240,1488,103,975,779
24,20051020_62709_0100_PP.tif,2240,1488,103,1170,830
25,20051020_62878_0100_PP.tif,2240,1488,103,1137,740
26,20051020_63269_0100_PP.tif,2240,1488,103,981,797
27,20051020_63711_0100_PP.tif,2240,1488,103,975,773
28,20051020_63936_0100_PP.tif,2240,1488,103,978,794
29,20051020_64249_0100_PP.tif,2240,1488,103,978,782
30,20051020_64518_0100_PP.tif,2240,1488,103,1005,812
31,20051020_64653_0100_PP.tif,2240,1488,103,987,806
32,20051020_64775_0100_PP.tif,2240,1488,103,1131,755
33,20051020_64945_0100_PP.tif,2240,1488,103,984,791
34,20051020_65230_0100_PP.tif,2240,1488,103,1293,776
35,20051021_36208_0100_PP.tif,2240,1488,103,1296,776
36,20051021_36476_0100_PP.tif,2240,1488,103,1290,785
37,20051021_39661_0100_PP.tif,2240,1488,103,972,800
38,20051021_39845_0100_PP.tif,2240,1488,103,1122,860
39,20051021_40018_0100_PP.tif,2240,1488,103,972,809
40,20051021_40180_0100_PP.tif,2240,1488,103,1128,779
41,20051021_40377_0100_PP.tif,2240,1488,103,987,794
